"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"All","66126793860",1971710,"The supply and installation of a proven, standardised, modular, expandable Modular Data Centre.","Open tender","Computer Equipment and Accessories","Computer hardware maintenance or support",9,2574697.88,180392.97,1971710,422594.91,"Datapod (Australia) Pty Ltd"
"All","66329169412",33921000,"Queensland ACAP Agreement 2012-2014","Limited tender","Individual health screening and assessment services","Comprehensive health services",13,51246211.01,51222925.81,10085.2,13200,"ROYAL BRISBANE HOSPITAL & HEALTH"
"All","66394749447",1522500,"PROVISION OF CONTRACTOR SERVICES","Open tender","Temporary personnel services","Temporary personnel services",85,9410435.44,754381.33,8463405.21,192648.9,"DFP Recruitment Services"
"All","66422813021",33357474.99,"HOTEL ROOMS - ACCOMODATION REPAIRS &amp; MAINTENANCE&nbsp;FOR CLIENTS&nbsp;IN DARWIN.","Limited tender","Hotel rooms","Hotel rooms",1,33357474.99,33357474.99,0,0,"DARWIN AIRPORT RESORT OPERATIONS"
"All","66791296287",926641.89,"Torture & Trauma Counselling Services - SA","Limited tender","Rehabilitation services","Refugee programs",2,1013266.89,1013266.89,0,0,"SURVIVORS OF TORTURE AND"
"All","67003343271",641586,"STORAGE AND MAINTENANCE","Limited tender","Maintenance or support fees","Fluid and gas distribution",129,6627637.41,5860847.69,435865,330924.72,"H I FRASER PTY LTD"
"All","67004454666",1048940.91,"Lease at Burwood SC (Medciare) NSW","Open tender","Lease and rental of property or building","Lease and rental of property or building",5,3525510.45,0,3525510.45,0,"P.T. Ltd"
"All","67005944203",6710673.2,"Record Management Services","Open tender","File archive storage","Document storage services",20,8778141.3,881111.47,7837029.83,60000,"Iron Mountain Australia Pty Ltd"
"All","67006898906",2713865.2,"FPR 23 SERIAL 19 A-C TIERS AND POUCHES","Limited tender","Arms and ammunition accessories","Personal safety and protection",65,26404837.15,15424479.16,10980357.99,0,"AUSTRALIAN DEFENCE APPAREL"
"All","67013663038",816480,"Advisory Services for the Basin Plan Monitoring and Evaluation Program (MEP)","Open tender","Environmental management","Environmental management",4,1192613,0,1192613,0,"Alluvium Consulting Pty Ltd"
"All","67050611642",380020.01,"Australian building standards and codes","Limited tender","Electronic reference material","Education and Training Services",47,1268551.48,1021508.5,122657.62,124385.36,"SAI GLOBAL LTD"
"All","67052475911",30132284,"Security Guarding Services","Open tender","Security guard services","Security guard services",16,38529328.82,461857.95,37806410.38,261060.49,"Wilson Security"
"All","67059984708",1243931.28,"DEFENCE ENGINEERING INTERNSHIP PROGRAM SELECTED 3RD YEAR ENGINEERING STUDENTS DEFENCE INDUSTRY","Open tender","Education and Training Services","Education and Training Services",2,1404961.68,0,1404961.68,0,"AITEC PTY LTD"
"All","67060937171",753205.76,"Provision of Science Corporate Information Systems SCIS Helpdesk Services","Open tender","Professional engineering services","Data services",11,1774462.3,55000,1489018.13,230444.17,"DIGITAL (DIGEST) DATA DESIGN PTY"
"All","67065576052",6469904.1,"Construction Management and Construction Costs for Red Building Benjamin Offices","Open tender","General building construction","Building construction and support and maintenance and repair services",30,12029559.32,835338.94,8524958.5,2669261.88,"Manteena Pty Ltd"
"All","67071476081",3306262.85,"Explosive Ordnance","Limited tender","Light weapons and ammunition","Aerospace systems and components and equipment",22,9079337.33,8474213.22,0,605124.11,"AVALON SYSTEMS"
"All","67077870243",1222004.32,"Lease at&nbsp;Service Centre, Bankstown, NSW&nbsp;(Medicare)","Open tender","Lease and rental of property or building","Lease and rental of property or building",3,1345839,0,1345839,0,"CPT Custodian Ptv Ltd"
"All","67092368486",243234.78,"Engagement of Skilled Worforce","Open tender","Temporary personnel services","Management advisory services",14,1806090.63,1149413.57,656677.06,0,"WORKFORCE TRAINING SOLUTIONS PTY"
"All","67092596480",6e+06,"Provision of INMARSAT Satellite Services","Limited tender","Satellites","Telecommunications media services",13,6340959.94,6204391.16,136568.78,0,"Inmarsat Solutions B.V."
"All","67094710942",1369052,"Property Lease 29 Molesworth Street Lismore","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,1369052,1369052,0,0,"Clarence Property Corporation Pty Ltd"
"All","67099641871",1027921.4,"NATIONAL WORKERS MEMORIAL Site Works Head Contract Pyramid Corporation Pty Ltd","Limited tender","Roads and landscape","General building construction",2,1038481.4,1038481.4,0,0,"Pyramid Corporation Pty Ltd"
"All","67103003603",21254418,"Lease at 90 Crown Street, Wollongong, NSW","Open tender","Lease and rental of property or building","Lease and rental of property or building",2,23088668,0,23088668,0,"Eclipse Property Group"
"All","67110356048",390000,"Education and training services","Open tender","Education and Training Services","Education and Training Services",11,1005982.86,386790.01,477638.25,141554.6,"ALLEGANY CONSULTING PTY LTD"
"All","67117645708",11754650.96,"Creative advertising Services for Defence Force Recruiting","Prequalified tender","Advertising","Advertising",9,29442945.94,27428.13,0,29415517.81,"GEORGE PATTERSON Y & R"
"All","67972164718",232492,"Provision of Insolvency Services","Limited tender","Public administration and finance services","Public administration and finance services",23,1445290.7,1406790.7,38500,0,"PPB"
"All","68000087507",847800,"Supply surgical masks to the National Medical Stockpile.","Open tender","Emergency and field medical services products","Medical Equipment and Accessories and Supplies",22,1807938,960138,847800,0,"SMITH & NEPHEW (AUSTRALIA) PTY LTD"
"All","68003035470",49585969.68,"C-130J TLS Contract","Open tender","Aircraft","Aerospace systems and components and equipment",268,216620647.46,137504544.11,70219100.28,8897003.07,"AUSTRALIAN AEROSPACE PTY LTD"
"All","68003599764",938400,"Envelopes","Open tender","Market research","Market research",4,1070191.6,0,1070191.6,0,"Candida Stationery Pty Ltd"
"All","68009778018",5800000,"Comcovers external insurance service provider","Open tender","Business administration services","Management advisory services",3,7776254.6,1976254.6,5800000,0,"Gallagher Bassett Services Pty Ltd"
"All","68010135994",3194819.58,"Radios and Navigation for Fire Fighting Trucks","Limited tender","Safety and rescue vehicles","Fire fighting equipment",7,3934412.03,3934412.03,0,0,"SASGAR PTY LTD"
"All","68095169412",1700200,"To provide 204  School Based Traineeship opportunities to Indigenous Australians in northern New South Wales, Sydney and western New South Wales","Limited tender","Community and social services","Community and social services",4,4421930,2140200,2281730,0,"Aboriginal Employment Strategy Limited"
"All","68096077422",1133382.78,"Software Licencing and Maintenance Support","Open tender","Software maintenance and support","Software maintenance and support",123,8770452.98,1872151.69,6678494.07,219807.22,"Zallcom Pty Ltd"
"All","68102652148",420000,"Northern Australia Sustainable Futures Data Development project","Open tender","Project management","Management advisory services",17,2117253.18,109824.15,2007429.03,0,"ACIL Tasman Pty Ltd"
"All","68109740043",2860000,"Upgrade of Curam to Version 6.0","Open tender","Computer services","Computer services",10,4089797,0,4089797,0,"Curam Software P/L -  CANBERRA"
"All","68123110243",840400,"Eucla Basin South-West, Central and East Gravity Surveys. Contract G3462A A","Open tender","Earth science services","Earth science services",3,2059785.2,0,2059785.2,0,"Atlas Geophysics Pty Ltd"
"All","68123619009",615139,"HMAS MANOORA & KANIMBLA POA TECHNICAL SUPPORT AND PLANNING COORDINATION SERVICES","Limited tender","Service Industry Machinery and Equipment and Supplies","Service Industry Machinery and Equipment and Supplies",3,1253079.02,1253079.02,0,0,"CAPABILITY BY DESIGN"
"All","68125805647",2200000,"Engineering Services","Open tender","Software or hardware engineering","Professional engineering services",106,19210523.51,4878050.38,11634628.93,2697844.2,"QINETIQ PTY LTD"
"All","68437423269",9870720,"Deliver Medical Training","Open tender","Education and Training Services","Education and Training Services",1,9870720,0,9870720,0,"WODONGA INSTITUTE OF TAFE"
"All","68463974006",11224924,"Missile Enhancement Program","Limited tender","Missiles","Missiles",1,11224924,11224924,0,0,"THE BOEING COMPANY"
"All","68495818033",1673072.5,"Communication Services","Open tender","Software maintenance and support","Software",17,3029601.37,412821.47,2600059.9,16720,"Nuance Communications Ireland Ltd"
"All","68574011917",1200000,"Inspection services National Solar School Program","Limited tender","Management advisory services","Management advisory services",1,1200000,1200000,0,0,"ORER Official Departmental Head Office Payments Account"
"All","68706814312",11902500,"Factory acceptance testing In Support of MRHPO","Limited tender","Aircraft","Military rotary wing aircraft",187,52954702.95,49526489.28,331326.73,3096886.94,"DEFENCE - 'INTER-AGENCY TRANSFERS'"
"All","69000103695",1260256,"Software Maintenance","Limited tender","Software maintenance and support","Computer Equipment and Accessories",8,2210288.69,1962432.2,0,247856.49,"MATRIUM TECHNOLOGIES PTY LTD"
"All","69000624984",119471,"Office Furniture","Open tender","Office furniture","Office furniture",40,1452706.83,46895.46,1270290.6,135520.77,"STURDY COMPONENTS PTY LTD"
"All","69001002731",780128.31,"Computer Equipment","Prequalified tender","Computer Equipment and Accessories","Computer Equipment and Accessories",177,17166291.94,3474577.95,10340249.28,3351464.71,"UXC Connect Pty Ltd"
"All","69003708601",1914892.1,"Research Services","Limited tender","Software","Education and Training Services",33,6423100.77,4794914.09,1628186.68,0,"Gartner Australasia Pty Ltd"
"All","69005120409",451416.29,"Procurement of Test Set, Radio.","Limited tender","Personal safety and protection","Personal safety and protection",17,1245778.26,1208746.76,22330,14701.5,"VICOM AUSTRALIA PTY LTD"
"All","69008585260",14312170,"IP Australia Property Operating Expenses","Open tender","Property management services","Lease and rental of property or building",16,28931138.27,3672368.02,25258770.25,0,"Jones Lang Lasalle (ACT) Pty Ltd"
"All","69010725247",25947643.19,"Former HMAS Platypus Site Major Remediation Works","Open tender","Decontamination services","Hazardous waste disposal",12,28138357.78,229321.27,27909036.51,0,"THIESS ENVIIRONMENTAL SERVICES P /"
"All","69060472666",146979.45,"UI/UX Designer - NEI Explorer - Martyn Yang","Open tender","Computer programmers","Temporary personnel services",37,1873502.8,0,1873502.8,0,"IPA Personnel Pty Ltd"
"All","69080932467",363000,"IMtel Annual Software Maintenance","Open tender","Software maintenance and support","Software",6,1132345.5,151541.5,980804,0,"THE DISTILLERY"
"All","69081290860",432930719,"Provision of Lease and Rental of Property or Building","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,432930719,432930719,0,0,"MTAA SUPERANNUATION FUND (R G CASEY BUILDING) PROPERTY PTY LTD"
"All","69088793113",916721,"114366 - Provision of Construction Services","Limited tender","Refurbishing services","Workstations and office packages",4,2000373.04,916721,0,1083652.04,"MPA CONSTRUCTION GROUP PTY LTD"
"All","69096192068",257400,"Provision of Contract Management Services","Open tender","Temporary personnel services","Specialty aircraft",8,1171962.01,0,953712.01,218250,"AEROSPACE SOLUTIONS PTY LTD"
"All","69097952657",23700278.84,"Refrigeration and Air Conditioning Industry Board Services","Open tender","Management advisory services","Management advisory services",2,23759678.84,0,23759678.84,0,"Australian Refrigeration Council"
"All","69102908118",70000,"Leadership Programs","Limited tender","Human resources services","Education and Training Services",44,1536993.65,1458013.65,30800,48180,"Australia and New Zealand School of Government Ltd"
